expediente,oficina,turno_otorgado,fecha_ingreso,estado,fecha_turno,fecha_egreso,auxiliar,detalle,
P-54873/17,UFI Las Heras-Lavalle (N� 9),SI,23/8/2017,archivado,,29/8/2017,Luis,Mesa de Entradas UFI Las Heras-Lavalle,
P-59317/17,UFI Robos Agravados (N� 23),SI,22/8/2017,archivado,,25/8/2017,Luis,,
P-121146/17,Oficina Fiscal N� 15,SI,25/8/2017,archivado,,4/9/2017,Luis,Retira Aux. Marcos Mu�oz de UFI. Violencia de G�nero,
P-116263/17,UFI Capital (N� 1),NO,24/8/2017,archivado,,25/8/2017,Luis,Copia de DVD Camara Gessel,
P-51944/17 SEGUNDO,UFI Maipu Lujan (N� 5),SI,29/8/2017,archivado,,30/8/2017,Cristian,Retira Aux. Luis Echenique de UFI Maipu Lujan,
P-59072/17 segundo turno,Oficina Fiscal N� 17,SI,29/8/2017,archivado,,13/9/2017,Cristian,Reitra Aux. Patricia Vazquez,
P-61390/17,UFI Homicidios (N� 17),SI,30/8/2017,archivado,,4/9/2017,Juan Pablo,Retira Aux. Rebeca Piccini de UFI Homicidios,
P-42664/17,UFI Robos Agravados (N� 29),SI,30/8/2017,archivado,,5/9/2017,Juan Pablo,retira aux. admin. Federico Ragno,
P-118647/17,UFI Las Heras-Lavalle (N� 7),SI,29/8/2017,archivado,,5/9/2017,Luis,,
P-123341/17,Oficina Fiscal N� 8,SI,29/8/2017,archivado,,30/8/2017,Luis,Retira Aux. Admin. Emanuel Hidalgo de oficina fiscal N� 8,
P-16117/17,UFI Automotores (N� 16),SI,5/9/2017,archivado,,25/9/2017,Luis,Retira Auxiliar Nardechia de Mesa de Entradas,
P-123211/17,Oficina Fiscal N� 19,SI,5/9/2017,archivado,,14/9/2017,Luis,Entregado en Mesa de Entradas de UFI Robos Agravados,
P-52113/17,UFI Maipu Lujan (N� 5),SI,6/9/2017,archivado,,7/9/2017,Luis,Retira Luis Echenique,
P-63152/17,UFI Rivadavia - Junin (N� 1),SI,1/9/2017,archivado,,14/9/2017,Luis,Retira Marcelo Facello Despachp de San Mart�n,
P-119599/17,UFI Homicidios (N� 1),SI,31/8/2017,archivado,,7/8/2017,Luis,Retira Dra. Nieto,
P-121192/17,UFI Homidicios (N� 1),SI,31/8/2017,archivado,,4/9/2017,Juan Pablo,Retira Aux. Rebeca Piccinni de UFI Homicidios,
P-14704/17,UFI Violencia de G�nero (N� 37),SI,1/9/2017,archivado,,4/9/2017,Cristian,Retira Aux. Marcos Mu�oz de UFI Violencia de G�nero,
P-120172/17,UFI Capital (N� 20),SI,8/9/2017,archivado,,13/9/2017,Cristian,Retira Aux. Adm. Jimena Ortiz,
P-123242/17,UFI Homidicios (N� 1),SI,7/9/2017,Archivado,,7/9/2017,Luis,Retira Aux. Carlos Quevedo,
P-114066/17,UFI Godoy Cruz (N�6),NO,5/9/2017,archivado,,5/9/2017,Federico,Copia de CD,
P-117811/17,Oficina Investigaciones - San Rafael,SI,6/9/2017,archivado,19/9/2017,19/10/2017,Luis,Retira Juan Pablo Mart�nez de despacho zona Sur,
P2-115490/17,Segunda Fiscal�a de Instrucci�n - San Rafael,SI,6/9/2017,archivado,19/9/2017,19/10/2017,Cristian ,Retira Juan Pablo Mart�nez de despacho zona Sur,
P-115480/17,Primera Fiscal�a de Instrucci�n - San Rafael,SI,6/9/2017,archivado,20/9/2017,27/9/2017,Juan Pablo,Retira Juan Harazink de despacho de Zona Sur,
P-502/17,UFI Violencia de G�nero (N� 1) - San rafael,SI,6/9/2017,archivado,27/9/2017,4/10/2017,Juan Pablo,Retira Juan Harazink de despacho de Zona Sur,
FMZ 35665/17,"Juzgado Federal N� 1 - Secretar�a Penal ""B""",,6/9/2017,archivado,,7/9/2017,Luis,Retira Lic. Diego Olmedo,
P-20881/17,UFI Santa Rosa,SI,8/9/2017,archivado,,26/9/2017,Cristian,Retira Diego Salgado de la UID de Santa Rosa,
P-60919/17,UFI Delitos Economicos (N� 19),SI,12/9/2017,archivado,,14/9/2017,Luis,Retira Aux. Laura Avila (Econ�micos),
P-126829/17,Oficina Fiscal N� 11,SI,12/9/2017,archivado,,28/9/2017,Luis,retira aux. administrastiva Sandra Malfitani de Oficina 11,
P-58840/17,UFI Homicidios (N� 17),SI,13/9/2017,archivado,,25/9/2017,Juan Pablo,Retira Auxiliar Nardechia de Mesa de Entradas,
P-12466/17 SEGUNDO,UFI San Martin (N� 1),SI,14/9/2017,archivado,,26/9/2017,Juan Pablo,Retira Diego Salgado de la UID de Santa Rosa,
P-123599/17,Oficina Fiscal N� 19,SI,12/9/2017,archivado,,13/9/2017,Cristian,Retira Aux. Gabriela Caprioli de OFI 19,
2180/V,UFI Maipu Lujan (N� 25),NO,13/9/2017,archivado,,13/9/2017,Juan Pablo,Copia de CD. Retira Aux. Carlos Heredia,
115504/17,Primera Fiscalia de Instrucci�n San Rafael,NO,13/9/2017,archivado,4/10/2017,5/10/2017,Juan Pablo,Retira Juan Harazink de despacho de Zona Sur,
127296/17,UFI San Rafael (N� 1),NO,13/9/2017,archivado,27/9/2017,4/10/2017,Luis,Retira Juan Harazink de despacho de Zona Sur,
P-120440/17 SEGUNDO,UFI Robos Agravados (N� 29),SI,21/9/2017,PENDIENTE falta entregar,,,Juan Pablo,,
P-127005/17,Oficina Fiscal N� 11,SI,,archivado,,28/9/2017,Luis,"retira aux. administrastiva Sandra Malfitani de Oficina 11 el secuestro Y ACTAS/ OJO XQ DESDE EL JUZGADO DE GARANTIAS NUNCA PUSIERON QUE LE SEA DEVUELTA LA EXTRACCION A ELLOS, SINO QUE ESO APARECE EN EL OFICIO CONFECCIONADO POR LA OFICINA FISCAL AYTE. GAGLIARDI",
P-55937/17,Oficina Fiscal N� 2,NO,14/9/2017,archivado,,,Juan Pablo,Extraccion de video de telefono del ayudante fiscal y volcado en CD. CD para entregar ya que el TELEFONO se entreg� en el dia.,
P-115363/17,UFI Robos Agravados (N� 23),SI,,Se cae turno,,,Luis,,retira Aux. Noelia Reyes
P-56684/17,UFI Guaymallen (N� 11),SI,15/9/2017,archivado,,24/9/2017,Luis,,
P-127013/17,Oficina Fiscal N� 10,SI,13/9/2017,archivado,,,Luis,Recibe auxiliar Juan Assenza,
P-14837/17,UFI Violencia de G�nero (N� 13),SI,18/9/2017,archivado,,,Juan Pablo,Retira Ordenanza Paola Araya de la UFI Violencia de G�nero,
P2-124158/17,UFI Violencia de G�nero (N� 2) San Rafael,NO,19/9/2017,archivado,4/10/2017,5/10/2017,Juan Pablo,"Retira Juan Harazink, de despacho de la Zona Sur",
P2-136445/17,UFI Violencia de G�nero (N� 2) San Rafael,NO,19/9/2017,archivado,4/10/2017,5/10/2017,Juan Pablo,"Retira Juan Harazink, de despacho de la Zona Sur",
P-44880/17,UFI Las Heras-Lavalle (N� 07),SI,22/9/2017,archivado,,2/10/2017,Juan Pablo,Retira secuestro N� 1-2-3-4-5-6-7-8-9 falta 1 CPU y 2 NOTEBOOKS para ENCASE Retira aux Mauricio ,
P-53580/17,UFI Violencia de G�nero (N� 4),SI,21/9/2017,archivado,,2/10/2017,Juan Pablo,Recibe Aux. Paola Aryza? ,
P-115363/17 segundo turno,UFI Robos Agravados (N� 23),SI,26/9/2017,archivado,,3/10/2017,Luis,Recibido en Mesa de Entradas de UFI Robos Agravados,
P-124605/17,Oficina Fiscal N� 13,SI,19/9/2017,archivado,,25/9/2017,Juan Pablo,Retira Auxiliar Administrativa Patricia Namuncur�,
P-120440/17 segunda extracci�n,UFI Robos Agravados (N� 29),SI,28/9/2017,archivado,,5/10/2017,Juan Pablo,retira Aux. Administrativo Federico Ragno de esa UFI,
P-123717/17,UFI Violencia de Genero (N�1) San Rafael,SI,27/9/2017,archivado,19/10/2017,20/10/2017,Luis,retira Juan Pablo Martinez de la Oficina de Choferes. Recibido por Mesa de entradas de Ufi Violencia de genero san rafael,
P-139544/17,UFI Flagrancia (N� 27),SI,3/10/2017,archivado,,10/10/2017,Juan Pablo,Retira Secretario Rodrigo Asensio,
P-139094/17,Oficina Fiscal N� 10,SI,26/9/2017,archivado,,5/12/2017,Luis,Entregado en UFI de Delitos Sexuales,
P-20672/17,UFI Santa Rosa-La Paz (N�2),SI,26/9/2017,archivado,,12/10/2017,Luis,Retira Marcelo Faccello de Despacho de la Zona Este,
P-139670/17,Oficina Fiscal N� 05 de Las Heras,SI,,PENDIENTE turno otorgado,,,Juan Pablo,"se cae turno, no traen tel�fono",
P-114967/17,UFI Flagrancia (N� 27),SI,,Se cae turno,,,Luis,,
P-543/17,UFI San Rafael (N� 1),SI,27/9/2017,archivado,4/10/2017,5/10/2017,Juan Pablo,"la fiscal tiene que mandarnos bien el n�mero de expte penal, los escritos son sumarios policiales/ retira Juan Harazink de despacho Zona Sur",
P-137483/17,UFI Robos Agravdos (N� 23),SI,5/10/2017,archivado,,10/10/2017,Juan Pablo,Recibe Auxiliar  Ivana Barkovich,
P-40790/16 segunda extracci�n,UFI Homicidios (N� 18),SI,29/9/2017,archivado,,3/10/2017,Luis,Retira Auxiliar Mart�n Torres,
P-140311/17,Oficina Fiscal N� 3,NO,2/10/2017,archivado,,10/10/2017,Luis,Descarga de video de MDZOL y copia del mismo en CD/Retira Auxiliar Diego Busso,
P-10055/17,UFI Maip�-Luj�n (N� 25),SI,5/10/2017,archivado,,12/10/2017,Luis,No era extracci�n sino copia de contenido de un pendrive. Entregado en Mesa de Entradas UFI Maip�-Luj�n,
P-14855/17,UFI Violencia de G�nero (N� 4),SI,5/10/2017,archivado,,24/10/2017,Luis,Retira Elena Espinolo Auxiliar,
P-141858/17,UFI Robos Agravdos (N� 29),SI,4/10/2017,archivado,,19/10/2017,Luis,Entregado en Mesa de Entradas de Robos Agravados,
P-61150/17,UFI Guaymall�n (N� 12),NO,4/10/2017,archivado,,13/10/2017,Luis,Entregado en Mesa de Entradas de Guaymall�n,
P-108037/16 segundo turno,UFI Flagrancia (N� 27),SI,11/10/2017,archivado,,27/10/2017,Luis,Retira aux. Guillermo Cordonez,
3374/17,UFI San Rafael (N� 1),SI,4/10/2017,archivado,,13/10/2017,Juan Pablo,"se cae turno, no traen tel�fono",
P-141018/17 segunda,UFI San Rafael (N� 1),SI,4/10/2017,archivado,19/10/2017,20/10/2017,Juan Pablo,es el mismo que 543/17 del doble homicidio OJO/retira Juan pablo Martinez de Oficina de Choferes zona Sur. Recibido por Unidad Fiscal de San Rafael,
P-142230/17,Oficina Fiscal N� 2,SI,9/10/2017,Archivado,,9/11/2017,Juan Pablo,Retira Aux Mauro Semeraro de UFI CORRECCIONAL,
P-40790/16 tercera,UFI Homicidios (N� 18),NO,5/10/2017,archivado,,6/10/2017,Juan Pablo,Retira Aux. Administrativo Rafael Amadei de esa UFI,
P-125393/17,UFI Homicidios (N� 18),SI,11/10/2017,archivado,,19/10/2017,Juan Pablo,,
P-141222/17,Oficina Fiscal de Rivadavia,SI,10/10/2017,archivado,,24/10/2017,Luis,Retira Marcelo Facello de despacho zona este,
P-140925/17,UFI Las Heras-Lavalle (Oficina 6),NO,6/10/2017,archivado,,6/10/2017,Juan Pablo,"Recibe Carla Piazza, Jefa de Mesa de Entradas de la mencionada Unidad/desgarabado del contenido de MICRO SD",
P-33410/17,Oficina Fiscal de San Mart�n,SI,10/10/2017,archivado,,24/10/2017,Juan Pablo,Retira Marcelo Facello de despacho zona este,
P-40790/16 cuarta extraccion,UFI Homicidios (N� 18),SI,9/10/2017,archivado,,9/10/2017,Luis,Recibe auxiliar Valdivia,
P-142096/17,UFI Maip� - Luj�n (N� 25),SI,10/10/2017,archivado,,25/10/2017,Juan Pablo,Retira Auxiliar Administrativo Carlos Heredia (solo secuestro),
P-62540/17,UFI Mai�-Luj�n (N� 14),SI,,Se cae turno,,,Juan Pablo,,
P-138860/17,Oficina Fiscal de San Mart�n,SI,17/10/2017,archivado,,24/10/2017,Juan Pablo,Retira Marcelo Facello de despacho zona este,
P-143300/17,Oficina Fiscal de San Mart�n,SI,,se cae turno,,,Juan Pablo,,
P-139670/17 segundo turno,UFI Robos Agravados (N� 23),SI,19/10/2017,archivado,,24/10/2017,Juan Pablo,Retira Aux Federico Ragno de UFI Robos agravados,
P-142096/17 segundo turno,UFI Maip�-Luj�n (N� 25),SI,10/10/2017,archivado,,27/10/2017,Juan Pablo,Entregado en Juzgado de Instrucci�n N� 3 y UFI Maip�-Luj�n,
P-32358/17,UFI San Mart�n-La Colonia (N� 1),SI,12/10/2017,archivado,,24/10/2017,Luis,Retira Marcelo Facello de despacho zona este,
P-138936/17,Oficna Fiscal de San Mart�n,SI,17/10/2017,archivado,,24/10/2017,Luis,Retira Marcelo Facello de despacho zona este,
P-54562/17 segunda extracci�n,UFI San Mart�n-La Colonia (N� 1),SI,12/10/2017,archivado,,2/11/2017,Luis,Retira Facello de despacho zona este,
P-126616/17,UFI Flagrancia (N� 27),SI,11/10/2017,archivado,,24/10/2017,Juan Pablo,Retira Aux. Marcelo Poblete de UFI ,
Adm. 2622,Coordinaci�n General del Ministerio P�blico,NO,19/9/2017,archivado,,11/10/2017,Luis,,
P-34137/17,UFI Las Heras Lavalle (N� 7),SI,,Se cae turno,,,Luis,"No lo trajeron, habl� con el Dr. Jorge Quiroga, lo van a reprogramar ya que no notificaron a las partes",
P-29830/17 segunda extracci�n,UFI Las Heras Lavalle (N� 7),SI,,Se cae turno,,,Luis,"No lo trajeron, habl� con el Dr. Jorge Quiroga, lo van a reprogramar ya que no notificaron a las partes",
P-114967/17 segundo turno,UFI Flagrancia (N� 27),SI,,Se cae turno,,,Luis,"No lo trajeron, habl� con Adriana de Flagrancia que pidi� reprogramar porque no ten�an el tel�fono",
P-137767/17,UFI Correccional (N� 33),SI,12/10/2017,archivado,,19/10/2017,Juan Pablo,retira Auxiliar Administrativo Morici de esa Unidad Fiscal Correccional,
P-117811/17 segunda extracci�n,UFI Violencia de G�nero de San Rafael (N� 1),SI,,PENDIENTE turno otorgado,,,Juan Pablo,,
,UFI de Guaymall�n (N� 24),SI,,PENDIENTE falta comenzar,,,Juan Pablo,,
P-141740/17,UFI Automotores (N� 16),NO,13/10/2017,archivado,,7/11/2017,Juan Pablo,Retira Aux Cecilia Bollati de UFI Automotores,
P-141507/17,Oficina Fiscal de Rivadavia,SI,24/10/2017,archivado,,2/11/2017,Cristian,Retira Facello de despacho zona este,
P-145573/17,UFI Homicidios (N� 18),NO,17/10/2017,archivado,,18/10/2017,Juan Pablo,Retira Sgto. Ayudante Gimenez,
P-119867/17,UFI Godoy Cruz (N� 6),SI,24/10/2017,archivado,,3/11/2017,Luis,Entregado en Unidad Fiscal de Delitos Sexuales,
P-117811/17 tercer extracci�n,UFI Violencia de G�nero de San Rafael (N� 1�),NO,19/10/2017,archivado,31/10/2017,2/11/2017,Juan Pablo,Retira Aux. Juan Pablo Martinez despacho zona sur Ministerio Publico. Recibido el 01/11/17 mesa de entradas de violencia de genero FI 2,
P-116535/17,UFI Violencia de G�nero de San Rafael (N� 1�),NO,19/10/2017,archivado,2/11/2017,9/11/2017,Cristian,Retira Aux. Juan Pablo Martinez despacho zona sur Ministerio Publico. Recibido el 03/11/17 mesa de entradas de violencia de genero FI 2,
P-146968/17,Oficina Fiscal N� 19,SI,20/10/2017,archivado,,30/10/2017,Juan Pablo,Retira Aux. Betiana Dobrsky de UFI Violencia de Genero,
P-20704/17 segunda extracci�n,UFI Automotores (N� 16),SI,25/10/2017,archivado,,10/11/2017,Luis,Retira Aux. Bruno Nardecchia de UFI Automotores,
P-145028/17,Oficina Fiscal N� 17,SI,20/10/2017,archivado,,1/2/2018,Cristian,Entregado en Mesa de Entradas UFI Robos y Hurtos,
P-143564/17,Oficina Fiscal de San Martin,SI,24/10/2017,archivado,,7/11/2017,Cristian,Retira Aux. Facello de Despacho Zona Este,
P-145049/17,Oficina Fiscal N� 3,SI,20/10/2017,archivado,,17/11/2017,Cristian,Entregado en Mesa de Entradas de UFI Robos y Hurtos,
P-120925/15 Segunda,UFI Automotores (N� 16),SI,25/10/2017,archivado,,13/11/2017,Federico,Retira auxiliar Trombatore,
P-123113/17,Oficina Fiscal de San Martin,SI,24/10/2017,archivado,,2/11/2017,Cristian,Retira Facello de despacho zona este,
P-125481/17,Oficna fiscal N� 17,NO,15/9/2017,archivado,,20/10/2017,Juan Pablo,desgravado negativo,
P-500028/17,UFI General Alvear,NO,23/10/2017,archivado,11/12/2017,,Juan Pablo,Retira Marcelo Cerutti Oficina de Despacho Zona Sur de la Corte,
P-142609/17,UFI Automotores (N� 16),SI,23/10/2017,archivado,,6/12/2017,Cristian,Recibe Jefe de Mesa de entradas 3ro de Garantias el 08/11/17/Retira Auxiliar Rebeca Piccini de UFI Homicidios,
P-79349/16,Tercera C�mara del Crimen,NO,23/10/2017,archivado,,23/10/2017,Federico,,
P-145636/17,Oficina Fiscal N� 2,SI,24/10/2017,archivado,,24/10/2017,Cristian,Recibe aux. Mar�a Belen Dom�nguez OFI 2,
P-1578/17,UFI Malargue,SI,24/10/2017,archivado,9/11/2017,15/11/2017,Cristian,retira Juan Pablo Martinez de la Oficina de Choferes.,
P-120686/16,UFI Godoy Cruz,SI,24/10/2017,archivado,,10/11/2017,Cristian,Retira Aux. Gabriela Perez UFI Homicidio,
P-29830/17 segunda extracci�n segundo turno,UFI Las Heras-Lavalle (N� 7),SI,31/10/2017,archivado,,22/11/2017,Luis,Entregado en Unidad Fiscal de Delitos Econ�micos,
P-34137/17 segundo turno,UFI Las Heras-Lavalle (N� 7),SI,31/10/2017,archivado,,8/11/2017,Cristian,Recibe Aux. Silva de UFI Delitos Econ�micos,
P-145100/17,Oficina Fiscal N� 04,SI,30/10/2017,archivado,,6/11/2017,Cristian,Retira Aux. Roux de Oficina fiscal Nro. 4,
P-140650/17,UFI Guaymallen,SI,6/11/2017,archivado,,10/11/2017,Cristian,Retira Aux. Carla Burgos de UFI Delitos Sexuales,
P-114967/17 tercer turno,UFI Flagrancia (N� 27),SI,,Se cae turno,,,Luis,No lo trajeron,
P-54301/17,UFI Correccional 3� Circuns. Sec. VdG,SI,2/11/2017,archivado,,30/11/2017,Federico,Retira Aux. Marcelo Facello de Choferes zona este,
P-38804/17,UFI San Martin,SI,7/11/2017,archivado,,14/11/2017,Cristian,Retira Aux. Marcelo Facello de Choferes zona este,
P-147573/17,UFI San Martin,SI,7/11/2017,archivado,,14/11/2017,Cristian,Retira Aux. Marcelo Facello de Choferes zona este,
P-26733/17 segunda extracci�n,UFI San Mart�n-La Colonia (N� 1),SI,9/11/2017,archivado,,5/12/2017,Federico,Retira Aux. Marcelo Facello de Choferes zona este,
Sumario 1519/17,Oficina Fiscal de Vista Flores,SI,27/10/2017,archivado,,27/4/2018,Juan Pablo,Se cae turno. Ver mail de la secretaria,
P-14896/17,UFI Violencia de Genero,SI,6/11/2017,archivado,,9/11/2017,Cristian,Retira Aux. Carolina Garcia de UFI Violencia de Genero,
P-147638/17,UFI San Martin,SI,7/11/2017,archivado,,9/11/2017,Cristian,Retira Aux. Marcelo Facello de Choferes zona este,
P-61904/17,UFI Correccional,SI,6/11/2017,archivado,,22/11/2017,Federico,Entregado en Mesa de Entradas UFI Correccional,
P-138480/17,Ufi San Mart�n,SI,7/11/2017,archivado,,14/11/2017,Cristian,retira Marcelo Facello de despacho zona este,
P-3734/17,UFI San Rafael (N� 1),SI,9/11/2017,archivado,15/11/2017,17/11/2017,Cristian,"retira Juan Pablo Martinez, de la Oficina de Choferes de San Rafael. Recibido en UFI San Rafael",
P-117811/17 cuarta,UFI Violencia de Genero (N�1) San Rafael,SI,9/11/2017,PENDIENTE falta comenzar,,,,,
P-145010/17,Oficina Fiscal N� 3,SI,22/11/2017,archivado,,1/2/2018,Juan Pablo,Entregado en Mesa de Entradas UFI Robos y Hurtos,
P-148434/17,Oficina Fiscal N� 10,SI,10/11/2017,archivado,,8/5/2018,Juan Pablo,Retira Mar�a Ignacioa Jofr� ordenanza de Fiscal�a Penal de Menores,
P-20919/17,Oficina Fiscal de Santa Rosa,NO,16/8/2017,archivado,,10/11/2017,Juan Pablo,"desgrabaci�n negativa, retira Dorcemaine Emilio (chofer zona este)",
Sumario 621/17,Unidad Fiscal de San Rafael,SI,11/12/2017,archivado,,,Juan Pablo,,
P-125048/17,UFI Robos y Hurtos (N� 12),NO,10/11/2017,archivado,,10/11/2017,Cristian,Retira Aux. German Fedele de UFI Robos y Hurtos,
P-16117/17 SEGUNDO,UFI Automotores (N� 16),SI,21/11/2017,archivado,,24/11/2017,Juan Pablo,Retira Aux. Bruno Nardechia de UFI Automotores,
P-61904/17,UFI Santa Rosa - La Paz,SI,,archivado,,22/11/2017,Federico,Entregado en Mesa de Entradas UFI Correccional,
P-56997/17,UFI Robos y Hurtos (N� 20),SI,17/11/2017,archivado,,21/11/2017,Luis,Entregado en UFI Robos Agravados,
P-4048/17,UFI Violencia de Genero (N�2) San Rafael,SI,10/11/2017,archivado,11/12/2017,,Luis,Retira Marcelo Cerutti Oficina de Despacho Zona Sur de la Corte,
P-154802/17,Oficina Fiscal N� 16,SI,13/11/2017,archivado,,14/11/2017,Luis,Retira Ayudante Fiscal Dr. Martin Castro UFI Delitos Sexuales,
P-114967/17 cuarto  turno,UFI Flagrancia (N� 27),SI,,Se cae turno,,,Luis,No lo trajeron,
P-152277/17,UFI Correccional (N� 6),SI,22/11/2017,archivado,,23/11/2017,Luis,Entregado en Mesa de Entradas UFI Correccional,
P-150575/17,Oficina Fiscal N� 9,SI,17/11/2017,archivado,,28/11/2017,Luis,Retira Aux. Stella Maris Valdivia UFI Homicidios,
Sumario 3991/17,UFI San Rafael (N� 1),SI,15/11/2017,archivado,4/11/2017,,Cristian,retira Juan Pablo Mart�nez de la Ofina de despacho zona sur,
P-154264-17,UFI Homicidios,SI,,PENDIENTE turno otorgado,,,,,
P-42236/17 segunda extracci�n,UFI Automotores (N� 16),SI,25/10/2017,archivado,,15/11/2017,Juan Pablo,Retira Auxiliar Administrativa Ver�nica Trombatore de la UFI Automotores,
P-156863/17,Oficina Fiscal N� 8,SI,27/11/2017,archivado,,28/11/2017,Juan Pablo,Retira Auxiliar Administrativa Cruzado de esa Oficina,
P-62540/17 segundo pedido,UFI Delitos Sexuales (N� 14),SI,21/11/2017,archivado,,27/11/2017,Juan Pablo,Retira Auxiliar Administrativo Luis Echenique de esa UFI,
P-17798/17,Unidad Fiscal Correccional (N� 34),SI,,Se cae turno,,,Juan Pablo,No lo trajeron,
P-145908/17,UFI Homicidios (N� 17),SI,28/11/2017,archivado,,6/12/2017,Federico,Retira Auxiliar Administrativa Rebeca Piccini de la UFI Homicidios,
P-151253/17,Oficina Fiscal N� 5,SI,23/11/2017,Archivado ,,4/12/2017,Federico,Retira Auxiliar Julieta Gregorio Oficina Fiscal N�5 - Archivado UFI Homicidios,
P2-117714/17,UFI Violencia de Genero de San Rafael (N�2),NO,23/11/2017,archivado,11/12/2017,,Juan Pablo,Retira Marcelo Cerutti Oficina de Despacho Zona Sur de la Corte,
P-147322/17,UFI San Rafael (N� 2),NO,23/11/2017,archivado,11/12/2017,,Juan Pablo,Retira Marcelo Cerutti Oficina de Despacho Zona Sur de la Corte,
P-155227/17,UFI Correccional Secr. Violencia Genero 3 CJ,SI,23/11/2017,archivado,,30/11/2017,Luis,Retira Aux. Marcelo Facello choferes zona este,
P-147554/17,UFI San Mart�n-La Colonia (N� 1),SI,23/11/2017,Se cae turno,,,Luis,No lo trajeron,
P-139846/17,UFI Violencia de G�nero (N� 22),NO,24/11/2017,archivado,,27/11/2017,Luis,Entregado e Aux. Agust�n Bertona,
P-154971/17,UFI Automotores (N� 11),SI,,archivado,,4/12/2017,Federico,Retira Auxiliar Maria Laura Best UFI Automotores,
P-152452/17,UFI Homicidios (N� 17),SI,30/11/2017,archivado,,6/12/2017,Cristian,Retira Auxiiliar Rebeca Piccini de UFI Homicidios,
P-58582/16 tercera extracci�n,Primera C�mara en lo Criminal,NO,27/11/2017,archivado,,28/11/2017,Luis,Recibido por Jefe de Mesa de entradas de 1� Camara del Crimen,
P-550223/17, UFI Malarg�e,SI,27/11/2017,archivado,11/12/2017,19/12/2017,Juan Pablo,Retira Marcelo Cerutti Oficina de Despacho Zona Sur de la Corte. Recibido por Jefa de Mesa de entradas Mirtha Gomez},
P-1122/17 u 810/17,Juzgado Penal de Menores/FPM de San Rafael,SI,28/11/2017,enviado,14/12/2017,15/12/2017,Juan Pablo,Recibido por mesa de entradas de la UNIDAD,
P-3975/17,UFI San Rafael,SI,28/11/2017,archivado,11/12/2017,,Juan Pablo,Retira Marcelo Cerutti Oficina de Despacho Zona Sur de la Corte,
P2-135287/17,UFI Violencia de Genero San Rafael,SI,28/11/2017,archivado,14/12/2017,15/12/2017,Juan Pablo,Recibido por mesa de entradas de la UNIDAD,
P-117811/17 QUINTA,UFI Violencia de Genero San Rafael,NO,28/11/2017,archivado,4/11/2017,,Cristian,retira Juan Pablo Mart�nez de la Ofina de despacho zona sur,
P-154802/17 segunda extracci�n,UFI Delitos Sexuales (N� 2),SI,28/11/2017,archivado,,4/12/2017,Luis,Retira Aux. Paula Garc�a UFI Delitos Sexuales,
P-149923/17,Oficina Fiscal de Santa Rosa,SI,,Se cae turno,,,Luis,No lo trajeron,
P-114967/17 quinto turno,UFI Flagrancia (N� 27),SI,1/12/2017,archivado,,12/12/2017,Luis,Retira Aux. Federica Vicchi UFI Flagrancia,
P-151289/17,Oficina Fiscal N� 14,SI,29/11/2017,archivado,,5/12/2017,Federico,Entregado en UFI de Delitos Sexuales,
P-58840/17 SEGUNDO,UFI Homicidios (N� 17),NO,30/11/2017,archivado,,6/12/2017,Cristian,Retira Auxiiliar Rebeca Piccini de UFI Homicidios,
P-155486/17,UFI San Martin (N� 1),SI,5/12/2017,archivado,,18/12/2017,Luis,Retira Chofer Sergio Araya,
P-152271/17,Oficina Fiscal N� 10,SI,1/12/2017,archivado,,13/12/2017,Luis,Entregado en UFI de Robos y Hurtos,
P-115926/17,UFI Santa Rosa - La Paz,SI,27/10/2017,archivado,,7/12/2017,Federico,retira Marcelo Facello de la Oficina de Despacho Zona Este,
P-147554/17 segundo turno,UFI San Martin - La Colonia (N� 1),SI,,Se cae turno,,,Federico,No lo trajeron,
P-147638/17 segunda,UFI San Martin - La Colonia,SI,7/12/2017,archivado,,12/12/2017,Juan Pablo,retira Marcelo Facello de la Oficina de Despacho Zona Este,
P-63022/17,UFI Rivadavia,SI,7/12/2017,archivado,,18/12/2017,Juan Pablo,Retira Chofer Sergio Araya,
P-156651/17,UFI Correccional (N� 25),SI,6/12/2017,archivado,,7/12/2017,Juan Pablo,Retira Aux. Mariana Dupetit de UFI Correccional,
P-123066/17,Oficina Fiscal de San Martin,SI,12/12/2017,archivado,,18/12/2017,Cristian,Retira Chofer Sergio Araya,
P-156569/17,UFI Delitos Sexuales  (N� 9),SI,11/12/2018,archivado,,18/12/2017,Federico,Entregado en mesa de entrada UFI Delitos Sexuales,
P-161975/17,UFI Flagrancia,SI,12/12/2017,archivado,,22/12/2017,Luis,Entregado en mesa de entrada UFI Flagrancia,
P-150916/17,UFI Homicidios,SI,15/12/2017,archivado,,19/12/2017,Luis,Retira Auxiliar Administrativa Griselda Escobedo de UFI Homicidios Fisc. 17,
P-127032/17,UFI Homicidios (N� 1),SI,,PENDIENTE turno otorgado,,,Juan Pablo,,
Sumario 621/17 segunda,UFI San Rafael (N� 1),NO,11/12/2017,archivado,22/12/2017,11/1/2018,Juan Pablo,Retira Juan Pablo Martinez,
P-135739/15,UFI Correccional (N� 5),NO,11/12/2017,archivado,,11/12/2017,Luis,Retira Aux. Joana Mu�oz copia DVDS,
P-162594/17,Oficina Fiscal N� 19,SI,12/12/2017,archivado,,22/12/2017,Luis,Retira Aux. de Robos y hurtos,
